Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,SPTSS,SPTSS for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-5 criteria,1,1,1,0,1,1,0,0,1,High,1,"Excluded: ""acute suicidal ideation""","Excluded: ""current psychosis""",Mixed,"Rape/sexual assault; Illness/medical procedure; Accidents; Community/school violence; Combat-related; Child physical abuse; Other (""serious injury, harm, or death you caused to someone else""; ""severe human suffering"", ""sudden violent death"", ""any other very stressful event or experience"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥30,1,1,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Accidents,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,SCID,SCID for DSM-IV-TR,1,0,0,1,1,0,0,0,1,Low,1,"Excluded: ""acute suicide risk""","Excluded: ""comorbid psychotic disorder""",Mixed,"Child physical abuse; Child sexual abuse; Child other abuse; Intimate partner violence; Other (""serious injury/death""); Other (not described)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,Excluded: imminent danger of suicide,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,PCL and DSM,Clinical interview for DSM-5 and PCL-5 ≥33,1,1,0,0,0,0,0,0,1,High,1,"Excluded: suicidal or homicidal ideation within 1 year of participation, active self-harm/injury behaviors at tiem of screening",Excluded: acute psychosis,Mixed,"natural or manmade disaster, accidents, rape/sexual assault, community/school violence, illness/medical procedure, combat-related, terrorism/political violence/forced displacement",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,SI-PTSD and IES,SI-PTSD for DSM-III-R and IES ≥32,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychosis""",Mixed,"combat-related, rape/sexual assault, accidents, other (murder)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,0,1,0,0,0,0,1,1,High,0,"Included: Mild-moderate intensity of suicidal ideation was confirmed with a Scale for Suicide Ideation score of ≥ 3, but without imminent intent to commit suicide, i.e. a Columbia Suicide Severity Rating Scale suicidal ideation level of ≤4.",Excluded: Lifetime diagnosis of schizophrenia according to SCID for DSM-IV,Mixed,"combat-related, other (not specified)",High
Collaborative care,PTSD,Primary care clinic,Parallel,N,0,0,1,1,Self report,PCL,PCL-5 ≥33,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and DSM,DSM-IV-TR diagnosis and CAPS ≥50,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"NR (excluded ""major organic psychiatric disease"", not further specified)",Mixed,"combat-related, other (not specified)",Low
Nonpharmacologic cognitive,PTSD,Other (home),Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,SCID,SCID for DSM-5,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current experience of psychosis (determined via the SCID)""",Accidents,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,PDS and DSM,Clinician diagnosed using DSM-IV criteria and PDS >17,1,0,0,0,0,0,0,0,1,High,0,"Allowed: ""suicidal ideation""","Excluded: ""schizophrenia""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,0,Structured Clinical Interview,SCID,SCID for DSM-IV,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: current or past history of bipolar disorder, schizophrenic, or other psychotic disorder",Natural or manmade disasters,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Mixed,Parallel,Cluster-level,0,0,1,1,Self report,PCL,PCL-C ≥44,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV >60,1,0,0,0,0,0,0,0,1,High,1,Excluded:  presence of prominent suicidal ideation,Excluded:  history of or current clinical evidence of schizophrenia or psychoses,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,DSM-5 criteria and CAPS-5 score ≥23,1,1,0,0,1,0,1,1,1,High,1,"Excluded: ""suicidal or homicidal ideation judged to be an imminent threat (assessed by the Structured Clinical Interview for DSM-5)""","Excluded: ""psychotic symptoms""",Mixed,Combat-related; Rape/sexual assault,High
Psychotherapy,PTSD,Other,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,PSS-I,PSS-I for DSM-IV,1,1,0,1,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and SCID,"SCID for DSM-IV and CAPS-1 for DSM-IV and CAPS-2, 1st 17 items ≥60",1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Accidents,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,1,0,1,0,0,0,1,Low,1,Excluded: prominent suicidal ideation;,Excluded: lifetime history of any psychiatric disorder with psychotic features,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Self report,PDS,PDS for DSM-IV,1,1,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Natural or manmade disasters,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,0,Structured Clinical Interview,PSS-I,PSS-I for DSM-IV,1,0,0,0,1,0,1,0,1,Low,1,Excluded: active suicidal ideation severe enough to require immediate psychiatric treatment,"Excluded: current schizophrenia, delusional disorder, or depression with psychotic features",Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-2 for DSM-IV,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""current suicidal ideation""","Excluded: ""history of psychosis""",Mixed,"accidents, community/school violence",High
Psychotherapy & pharmacotherapy,PTSD+SUD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and PCL,CAPS-5 for DSM-5 criteria and PCL-5 ≥33,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""imminent risk for suicide""",Excluded: current delusions or hallucinations,Mixed,"Combat-related; Rape/sexual assault; Accidents; Community/school violence; Other (""witnessed or learned about injury or death""; ""other"" not further described)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,0,0,0,0,0,0,0,1,High,0,Excluded: suicidal ideation,Excluded: psychosis,Natural or manmade disasters,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-V,0,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""active suicidal or homicidal ideation on presentation""",Excluded: current or lifetime psychotic disorder,Other,"""related to military service""",High
Other mixed,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: prominent suicidal ideation,Excluded: active psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS ≥45,1,0,0,0,0,0,1,0,1,Low,1,Excluded: current suicidal ideation with intent or plan,Excluded: current unstable psychotic symptoms,Mixed,MST; Combat-related; Illness/medical procedure; Natural or manmade disasters; Other (life-threatening or serious injury; life-threatening illness),High
